rank,drug_name,target,binding_score
505,febuprol,New Target,1098.25
506,opipramol,New Target,1104.8
507,ecothiopate,New Target,1107.75
508,nafcillin,New Target,1111.95
509,talazoparib,New Target,1118.19
510,bendroflumethiazide,New Target,1119.46
511,formoterol,New Target,1127.9
512,cefaclor,New Target,1129.31
513,pipotiazine,New Target,1140.18
514,florbetapir,New Target,1142.2
515,bimatoprost,New Target,1150.34
516,diaveridine,New Target,1157.15
517,eltrombopag,New Target,1159.49
518,cloxacillin,New Target,1162.76
519,ponazuril,New Target,1164.3
520,cilnidipine,New Target,1165.68
521,sulindac,New Target,1168.16
522,desloratadine,New Target,1168.78
523,ramipril,New Target,1172.65
524,torasemide,New Target,1172.72
525,viloxazine,New Target,1173.62
526,trelagliptin,New Target,1175.66
527,sunitinib,New Target,1177.76
528,vaborbactam,New Target,1179.69
529,nicergoline,New Target,1183.43
530,amylmetacresol is a component of strepsis mixture,New Target,1185.62
531,bromperidol,New Target,1185.69
532,cromoglicic-acid,New Target,1187.55
533,meticrane,New Target,1190.27
534,fluoxetine hydrochloride,New Target,1192.48
535,amfebutamone hcl,New Target,1196.47
536,ticarcillin,New Target,1199.56
537,abacavir,New Target,1202.41
538,sitagliptin,New Target,1205.26
539,fluorometholone-acetate,New Target,1205.45
540,megestrol,New Target,1210.09
541,tulobuterol hydrochloride,New Target,1217.57
542,megestrol,New Target,1234.83
543,progesterone,New Target,1239.89
544,methazolamide,New Target,1240.61
545,levocabastine,New Target,1244.54
546,periciazine,New Target,1245.2
547,fipronil,New Target,1254.98
548,tianeptine,New Target,1255.37
549,perindopril,New Target,1256.19
550,glasdegib,New Target,1260.74
551,loracarbef,New Target,1263.04
552,hydroxyprogesterone-acetate,New Target,1263.65
553,tetracycline hcl,New Target,1269.94
554,minocycline hydrochloride,New Target,1271.76
555,biapenem,New Target,1272.22
556,meloxicam,New Target,1275.59
557,fenoldopam hydrochloride,New Target,1283.26
558,imidapril,New Target,1283.76
559,nateglinide,New Target,1284.03
560,indomethacin,New Target,1293.02
561,idebenone,New Target,1297.71
562,levopropoxyphene,New Target,1301.41
563,famciclovir,New Target,1308.45
564,olprinone,New Target,1312.29
565,ibuprofen-piconol,New Target,1314.88
566,darolutamide,New Target,1315.37
567,hydrocortisone,New Target,1315.64
568,lindane,New Target,1320.36
569,imidafenacin,New Target,1324.59
570,desogestrel,New Target,1337.16
571,quinaprilat,New Target,1338.48
572,pranlukast,New Target,1341.47
573,enoxacin,New Target,1348.23
574,treprostinil,New Target,1348.58
575,ranitidine (zantac),New Target,1359.49
576,pivampicillin,New Target,1360.13
577,celecoxib,New Target,1364.76
578,pirlindole,New Target,1367.28
579,medrysone,New Target,1370.91
580,diftalone,New Target,1370.93
581,blonanserin,New Target,1377.9
582,homatropine methylbromide,New Target,1389.04
583,tiaprofenic-acid,New Target,1390.09
584,etifoxine,New Target,1391.11
585,rabeprazole,New Target,1393.26
586,ambroxol,New Target,1397.26
587,mebhydrolin,New Target,1399.43
588,pyrantel,New Target,1401.02
589,nomegestrol-acetate,New Target,1401.87
590,nafamostat,New Target,1409.94
591,aceclofenac,New Target,1410.74
592,avapritinib,New Target,1413.71
593,tiopronin,New Target,1415.21
594,beta-ccb,New Target,1419.09
595,cefetamet,New Target,1422.08
596,5-hydroxytryptophan,New Target,1422.55
597,cortisone-acetate,New Target,1428.23
